Kinase,Source Protein,Target Protein,Interaction Score
GSK3B,9606.ENSP00000257430,9606.ENSP00000261798,0.999
GSK3B,9606.ENSP00000257430,9606.ENSP00000324806,0.999
GSK3B,9606.ENSP00000257430,9606.ENSP00000262320,0.999
GSK3B,9606.ENSP00000257430,9606.ENSP00000495360,0.999
GSK3B,9606.ENSP00000257430,9606.ENSP00000302625,0.999
GSK3B,9606.ENSP00000261798,9606.ENSP00000359206,0.926
GSK3B,9606.ENSP00000261798,9606.ENSP00000368166,0.934
GSK3B,9606.ENSP00000261798,9606.ENSP00000302625,0.997
GSK3B,9606.ENSP00000261798,9606.ENSP00000262320,0.999
GSK3B,9606.ENSP00000261798,9606.ENSP00000324806,0.999
GSK3B,9606.ENSP00000261798,9606.ENSP00000495360,0.999
GSK3B,9606.ENSP00000262320,9606.ENSP00000451828,0.912
GSK3B,9606.ENSP00000262320,9606.ENSP00000360060,0.992
GSK3B,9606.ENSP00000262320,9606.ENSP00000359206,0.999
GSK3B,9606.ENSP00000262320,9606.ENSP00000495360,0.999
GSK3B,9606.ENSP00000262320,9606.ENSP00000368166,0.999
GSK3B,9606.ENSP00000262320,9606.ENSP00000302625,0.999
GSK3B,9606.ENSP00000262320,9606.ENSP00000324806,0.999
GSK3B,9606.ENSP00000302625,9606.ENSP00000359206,0.935
GSK3B,9606.ENSP00000302625,9606.ENSP00000368166,0.991
GSK3B,9606.ENSP00000302625,9606.ENSP00000324806,0.999
GSK3B,9606.ENSP00000302625,9606.ENSP00000495360,0.999
GSK3B,9606.ENSP00000324806,9606.ENSP00000451828,0.996
GSK3B,9606.ENSP00000324806,9606.ENSP00000340820,0.999
GSK3B,9606.ENSP00000324806,9606.ENSP00000360060,0.999
GSK3B,9606.ENSP00000324806,9606.ENSP00000359206,0.999
GSK3B,9606.ENSP00000324806,9606.ENSP00000368166,0.999
GSK3B,9606.ENSP00000324806,9606.ENSP00000495360,0.999
GSK3B,9606.ENSP00000340820,9606.ENSP00000451828,0.872
GSK3B,9606.ENSP00000359206,9606.ENSP00000368166,0.802
GSK3B,9606.ENSP00000359206,9606.ENSP00000495360,0.999
GSK3B,9606.ENSP00000360060,9606.ENSP00000495360,0.81
GSK3B,9606.ENSP00000360060,9606.ENSP00000368166,0.996
GSK3B,9606.ENSP00000368166,9606.ENSP00000451828,0.74
GSK3B,9606.ENSP00000368166,9606.ENSP00000495360,0.994
GSK3B,9606.ENSP00000451828,9606.ENSP00000495360,0.979
MAPK3,9606.ENSP00000215832,9606.ENSP00000403701,0.985
MAPK3,9606.ENSP00000215832,9606.ENSP00000409581,0.989
MAPK3,9606.ENSP00000215832,9606.ENSP00000306245,0.992
MAPK3,9606.ENSP00000215832,9606.ENSP00000263025,0.994
MAPK3,9606.ENSP00000215832,9606.ENSP00000239223,0.996
MAPK3,9606.ENSP00000215832,9606.ENSP00000309116,0.998
MAPK3,9606.ENSP00000215832,9606.ENSP00000269305,0.998
MAPK3,9606.ENSP00000215832,9606.ENSP00000302486,0.999
MAPK3,9606.ENSP00000215832,9606.ENSP00000435412,0.999
MAPK3,9606.ENSP00000215832,9606.ENSP00000262948,0.999
MAPK3,9606.ENSP00000239223,9606.ENSP00000306245,0.961
MAPK3,9606.ENSP00000239223,9606.ENSP00000263025,0.996
MAPK3,9606.ENSP00000262948,9606.ENSP00000263025,0.99
MAPK3,9606.ENSP00000262948,9606.ENSP00000302486,0.996
MAPK3,9606.ENSP00000263025,9606.ENSP00000435412,0.99
MAPK3,9606.ENSP00000263025,9606.ENSP00000409581,0.991
MAPK3,9606.ENSP00000263025,9606.ENSP00000309116,0.992
MAPK3,9606.ENSP00000263025,9606.ENSP00000306245,0.994
MAPK3,9606.ENSP00000263025,9606.ENSP00000269305,0.994
MAPK3,9606.ENSP00000263025,9606.ENSP00000403701,0.996
MAPK3,9606.ENSP00000263025,9606.ENSP00000302486,0.999
MAPK3,9606.ENSP00000269305,9606.ENSP00000306245,0.952
MAPK3,9606.ENSP00000302486,9606.ENSP00000409581,0.875
MAPK3,9606.ENSP00000302486,9606.ENSP00000403701,0.975
MAPK3,9606.ENSP00000306245,9606.ENSP00000435412,0.729
MAPK3,9606.ENSP00000403701,9606.ENSP00000409581,0.986
PRKCA,9606.ENSP00000244007,9606.ENSP00000263431,0.918
PRKCA,9606.ENSP00000244007,9606.ENSP00000331602,0.924
PRKCA,9606.ENSP00000244007,9606.ENSP00000496129,0.952
PRKCA,9606.ENSP00000244007,9606.ENSP00000408695,0.958
PRKCA,9606.ENSP00000263431,9606.ENSP00000385205,0.771
PRKCA,9606.ENSP00000263431,9606.ENSP00000289473,0.903
PRKCA,9606.ENSP00000263431,9606.ENSP00000354558,0.921
PRKCA,9606.ENSP00000263431,9606.ENSP00000496129,0.946
PRKCA,9606.ENSP00000263431,9606.ENSP00000408695,0.984
PRKCA,9606.ENSP00000289473,9606.ENSP00000331602,0.966
PRKCA,9606.ENSP00000289473,9606.ENSP00000408695,0.969
PRKCA,9606.ENSP00000289473,9606.ENSP00000496129,0.975
PRKCA,9606.ENSP00000331602,9606.ENSP00000496129,0.966
PRKCA,9606.ENSP00000331602,9606.ENSP00000408695,0.967
PRKCA,9606.ENSP00000342793,9606.ENSP00000408695,0.96
PRKCA,9606.ENSP00000354558,9606.ENSP00000496129,0.937
PRKCA,9606.ENSP00000354558,9606.ENSP00000408695,0.969
PRKCA,9606.ENSP00000361818,9606.ENSP00000408695,0.997
PRKCA,9606.ENSP00000385205,9606.ENSP00000408695,0.996
PRKCA,9606.ENSP00000408695,9606.ENSP00000496129,0.963
PRKCA,9606.ENSP00000408695,9606.ENSP00000426909,0.97
PRKCA,9606.ENSP00000426909,9606.ENSP00000496129,0.925
CHK2,9606.ENSP00000269305,9606.ENSP00000365588,0.853
CHK2,9606.ENSP00000269305,9606.ENSP00000303706,0.861
CHK2,9606.ENSP00000269305,9606.ENSP00000321656,0.894
CHK2,9606.ENSP00000269305,9606.ENSP00000369497,0.995
CHK2,9606.ENSP00000269305,9606.ENSP00000343741,0.996
CHK2,9606.ENSP00000269305,9606.ENSP00000278616,0.999
CHK2,9606.ENSP00000269305,9606.ENSP00000372023,0.999
CHK2,9606.ENSP00000269305,9606.ENSP00000418960,0.999
CHK2,9606.ENSP00000269305,9606.ENSP00000371475,0.999
CHK2,9606.ENSP00000278616,9606.ENSP00000321656,0.813
CHK2,9606.ENSP00000278616,9606.ENSP00000303706,0.861
CHK2,9606.ENSP00000278616,9606.ENSP00000369497,0.995
CHK2,9606.ENSP00000278616,9606.ENSP00000418960,0.999
CHK2,9606.ENSP00000278616,9606.ENSP00000372023,0.999
CHK2,9606.ENSP00000278616,9606.ENSP00000365588,0.999
CHK2,9606.ENSP00000278616,9606.ENSP00000343741,0.999
CHK2,9606.ENSP00000278616,9606.ENSP00000371475,0.999
CHK2,9606.ENSP00000303706,9606.ENSP00000393139,0.737
CHK2,9606.ENSP00000303706,9606.ENSP00000343741,0.86
CHK2,9606.ENSP00000303706,9606.ENSP00000418960,0.929
CHK2,9606.ENSP00000303706,9606.ENSP00000321656,0.961
CHK2,9606.ENSP00000303706,9606.ENSP00000372023,0.998
CHK2,9606.ENSP00000321656,9606.ENSP00000418960,0.735
CHK2,9606.ENSP00000321656,9606.ENSP00000343741,0.798
CHK2,9606.ENSP00000321656,9606.ENSP00000372023,0.998
CHK2,9606.ENSP00000343741,9606.ENSP00000369497,0.831
CHK2,9606.ENSP00000343741,9606.ENSP00000365588,0.889
CHK2,9606.ENSP00000343741,9606.ENSP00000371475,0.975
CHK2,9606.ENSP00000343741,9606.ENSP00000393139,0.992
CHK2,9606.ENSP00000343741,9606.ENSP00000418960,0.996
CHK2,9606.ENSP00000343741,9606.ENSP00000372023,0.998
CHK2,9606.ENSP00000365588,9606.ENSP00000369497,0.857
CHK2,9606.ENSP00000365588,9606.ENSP00000372023,0.99
CHK2,9606.ENSP00000365588,9606.ENSP00000418960,0.999
CHK2,9606.ENSP00000365588,9606.ENSP00000371475,0.999
CHK2,9606.ENSP00000369497,9606.ENSP00000371475,0.922
CHK2,9606.ENSP00000369497,9606.ENSP00000372023,0.985
CHK2,9606.ENSP00000369497,9606.ENSP00000418960,0.999
CHK2,9606.ENSP00000371475,9606.ENSP00000372023,0.996
CHK2,9606.ENSP00000371475,9606.ENSP00000418960,0.999
CHK2,9606.ENSP00000372023,9606.ENSP00000393139,0.988
CHK2,9606.ENSP00000372023,9606.ENSP00000418960,0.999
